,sentence,layer,improbable_impossible_projection,impossible_inconceivable_projection,improbable_inconceivable_projection
21755,It was just a fishing expedition.,19,510.0,-4960.0,-4448.0
21756,It was just a fishing expedition.,20,1040.0,-4832.0,-3792.0
21757,It was just a fishing expedition.,21,2080.0,-5440.0,-3344.0
21758,It was just a fishing expedition.,22,2320.0,-7392.0,-5056.0
21759,It was just a fishing expedition.,23,3552.0,-8128.0,-4576.0
21760,It was just a fishing expedition.,24,3456.0,-9216.0,-5728.0
21761,It was just a fishing expedition.,25,1632.0,-5792.0,-4160.0
21762,I don't want to discuss it.,0,-2.796875,5.34375,2.5625
21763,I don't want to discuss it.,1,-4.46875,-11.0625,-15.5
21764,I don't want to discuss it.,2,-0.181640625,1.25,1.109375
21765,I don't want to discuss it.,3,23.5,33.0,56.5
21766,I don't want to discuss it.,4,-9.3125,13.3125,4.0
21767,I don't want to discuss it.,5,60.25,151.0,212.0
21768,I don't want to discuss it.,6,-26.875,-59.5,-86.0
21769,I don't want to discuss it.,7,-19.25,-304.0,-320.0
21770,I don't want to discuss it.,8,-18.125,-368.0,-384.0
21771,I don't want to discuss it.,9,53.5,-98.0,-45.75
21772,I don't want to discuss it.,10,141.0,-536.0,-396.0
21773,I don't want to discuss it.,11,276.0,-676.0,-400.0
21774,I don't want to discuss it.,12,188.0,-632.0,-440.0
21775,I don't want to discuss it.,13,540.0,-1056.0,-528.0
21776,I don't want to discuss it.,14,716.0,-1336.0,-616.0
21777,I don't want to discuss it.,15,358.0,-2672.0,-2320.0
21778,I don't want to discuss it.,16,680.0,-2944.0,-2272.0
21779,I don't want to discuss it.,17,262.0,-2992.0,-2736.0
21780,I don't want to discuss it.,18,768.0,-4672.0,-3920.0
21781,I don't want to discuss it.,19,410.0,-3936.0,-3536.0
21782,I don't want to discuss it.,20,960.0,-3792.0,-2848.0
21783,I don't want to discuss it.,21,2480.0,-4000.0,-1520.0
21784,I don't want to discuss it.,22,2736.0,-5664.0,-2928.0
21785,I don't want to discuss it.,23,4128.0,-6016.0,-1880.0
21786,I don't want to discuss it.,24,4080.0,-6272.0,-2192.0
21787,I don't want to discuss it.,25,2720.0,3568.0,6240.0
21788,Did your wishes ever come true?,0,-3.625,18.0,14.375
21789,Did your wishes ever come true?,1,-5.0625,-9.5625,-14.75
21790,Did your wishes ever come true?,2,0.453125,1.6953125,2.15625
21791,Did your wishes ever come true?,3,19.125,21.75,41.0
21792,Did your wishes ever come true?,4,-9.625,-5.09375,-14.875
21793,Did your wishes ever come true?,5,46.0,87.5,134.0
21794,Did your wishes ever come true?,6,-33.75,-115.5,-150.0
21795,Did your wishes ever come true?,7,-15.0625,-426.0,-438.0
21796,Did your wishes ever come true?,8,-44.25,-516.0,-556.0
21797,Did your wishes ever come true?,9,6.125,-268.0,-264.0
21798,Did your wishes ever come true?,10,87.5,-736.0,-648.0
21799,Did your wishes ever come true?,11,296.0,-1184.0,-884.0
21800,Did your wishes ever come true?,12,89.0,-1096.0,-1004.0
21801,Did your wishes ever come true?,13,444.0,-1504.0,-1064.0
21802,Did your wishes ever come true?,14,788.0,-1736.0,-944.0
21803,Did your wishes ever come true?,15,362.0,-3264.0,-2896.0
21804,Did your wishes ever come true?,16,808.0,-3488.0,-2688.0
21805,Did your wishes ever come true?,17,330.0,-3632.0,-3312.0
21806,Did your wishes ever come true?,18,796.0,-5088.0,-4320.0
21807,Did your wishes ever come true?,19,480.0,-4544.0,-4064.0
21808,Did your wishes ever come true?,20,956.0,-4448.0,-3520.0
21809,Did your wishes ever come true?,21,2112.0,-4832.0,-2736.0
21810,Did your wishes ever come true?,22,2368.0,-6784.0,-4416.0
21811,Did your wishes ever come true?,23,3568.0,-7200.0,-3648.0
21812,Did your wishes ever come true?,24,3056.0,-8448.0,-5376.0
21813,Did your wishes ever come true?,25,1568.0,-3888.0,-2368.0
21814,"Macaulay, you drew up Wynant's will.",0,-3.265625,0.7109375,-2.5625
21815,"Macaulay, you drew up Wynant's will.",1,-4.46875,-15.125,-19.625
21816,"Macaulay, you drew up Wynant's will.",2,2.0625,-2.890625,-0.796875
21817,"Macaulay, you drew up Wynant's will.",3,37.75,43.75,81.5
21818,"Macaulay, you drew up Wynant's will.",4,-4.28125,-10.375,-14.875
21819,"Macaulay, you drew up Wynant's will.",5,61.5,88.0,150.0
21820,"Macaulay, you drew up Wynant's will.",6,-21.5,-105.0,-126.5
21821,"Macaulay, you drew up Wynant's will.",7,-32.25,-536.0,-568.0
21822,"Macaulay, you drew up Wynant's will.",8,-62.75,-644.0,-708.0
21823,"Macaulay, you drew up Wynant's will.",9,19.625,-342.0,-324.0
21824,"Macaulay, you drew up Wynant's will.",10,197.0,-1040.0,-840.0
21825,"Macaulay, you drew up Wynant's will.",11,436.0,-1488.0,-1048.0
21826,"Macaulay, you drew up Wynant's will.",12,202.0,-1200.0,-996.0
21827,"Macaulay, you drew up Wynant's will.",13,434.0,-2048.0,-1624.0
21828,"Macaulay, you drew up Wynant's will.",14,724.0,-2080.0,-1344.0
21829,"Macaulay, you drew up Wynant's will.",15,166.0,-3600.0,-3424.0
21830,"Macaulay, you drew up Wynant's will.",16,528.0,-3424.0,-2912.0
21831,"Macaulay, you drew up Wynant's will.",17,62.0,-3184.0,-3136.0
21832,"Macaulay, you drew up Wynant's will.",18,616.0,-4640.0,-4032.0
21833,"Macaulay, you drew up Wynant's will.",19,338.0,-4096.0,-3760.0
21834,"Macaulay, you drew up Wynant's will.",20,672.0,-4160.0,-3488.0
21835,"Macaulay, you drew up Wynant's will.",21,1928.0,-4448.0,-2528.0
21836,"Macaulay, you drew up Wynant's will.",22,1936.0,-5856.0,-3920.0
21837,"Macaulay, you drew up Wynant's will.",23,2992.0,-6208.0,-3232.0
21838,"Macaulay, you drew up Wynant's will.",24,3104.0,-5856.0,-2768.0
21839,"Macaulay, you drew up Wynant's will.",25,1272.0,4224.0,5440.0
21840,"Some of it good, I hope.",0,-2.5,2.203125,-0.310546875
21841,"Some of it good, I hope.",1,-3.234375,-11.0625,-14.3125
21842,"Some of it good, I hope.",2,1.546875,0.7578125,2.28125
21843,"Some of it good, I hope.",3,37.0,62.0,99.0
21844,"Some of it good, I hope.",4,1.2734375,23.875,24.875
21845,"Some of it good, I hope.",5,91.5,189.0,282.0
21846,"Some of it good, I hope.",6,-1.15625,-39.75,-40.75
21847,"Some of it good, I hope.",7,30.375,-282.0,-249.0
21848,"Some of it good, I hope.",8,31.875,-292.0,-258.0
21849,"Some of it good, I hope.",9,102.0,-25.0,76.0
21850,"Some of it good, I hope.",10,252.0,-524.0,-270.0
21851,"Some of it good, I hope.",11,464.0,-684.0,-217.0
21852,"Some of it good, I hope.",12,370.0,-672.0,-298.0
21853,"Some of it good, I hope.",13,916.0,-848.0,66.5
21854,"Some of it good, I hope.",14,1184.0,-1112.0,80.0
21855,"Some of it good, I hope.",15,780.0,-2272.0,-1472.0
21856,"Some of it good, I hope.",16,1224.0,-2432.0,-1216.0
21857,"Some of it good, I hope.",17,788.0,-2704.0,-1928.0
21858,"Some of it good, I hope.",18,1200.0,-4352.0,-3136.0
21859,"Some of it good, I hope.",19,736.0,-3712.0,-2976.0
21860,"Some of it good, I hope.",20,1256.0,-3776.0,-2528.0
21861,"Some of it good, I hope.",21,2848.0,-3984.0,-1136.0
21862,"Some of it good, I hope.",22,2944.0,-6016.0,-3040.0
21863,"Some of it good, I hope.",23,4256.0,-6368.0,-2112.0
21864,"Some of it good, I hope.",24,4096.0,-7552.0,-3440.0
21865,"Some of it good, I hope.",25,3280.0,-42.0,3232.0
21866,"On your ear, you've got something.",0,-3.65625,6.0625,2.4375
21867,"On your ear, you've got something.",1,-4.3125,-15.125,-19.5
21868,"On your ear, you've got something.",2,1.3671875,-1.8203125,-0.46484375
21869,"On your ear, you've got something.",3,40.25,42.5,83.0
21870,"On your ear, you've got something.",4,18.375,18.5,36.75
21871,"On your ear, you've got something.",5,118.0,171.0,290.0
21872,"On your ear, you've got something.",6,44.75,-24.875,19.875
21873,"On your ear, you've got something.",7,77.0,-352.0,-272.0
21874,"On your ear, you've got something.",8,76.0,-366.0,-290.0
21875,"On your ear, you've got something.",9,161.0,-180.0,-19.375
21876,"On your ear, you've got something.",10,282.0,-584.0,-306.0
21877,"On your ear, you've got something.",11,540.0,-984.0,-436.0
21878,"On your ear, you've got something.",12,406.0,-728.0,-318.0
21879,"On your ear, you've got something.",13,836.0,-1352.0,-516.0
21880,"On your ear, you've got something.",14,1208.0,-1552.0,-344.0
21881,"On your ear, you've got something.",15,856.0,-2912.0,-2064.0
21882,"On your ear, you've got something.",16,1272.0,-3120.0,-1864.0
21883,"On your ear, you've got something.",17,708.0,-2992.0,-2288.0
21884,"On your ear, you've got something.",18,1224.0,-4704.0,-3504.0
21885,"On your ear, you've got something.",19,768.0,-4192.0,-3408.0
21886,"On your ear, you've got something.",20,1272.0,-4256.0,-2992.0
21887,"On your ear, you've got something.",21,2592.0,-4800.0,-2208.0
21888,"On your ear, you've got something.",22,2912.0,-6528.0,-3616.0
21889,"On your ear, you've got something.",23,4000.0,-7136.0,-3136.0
21890,"On your ear, you've got something.",24,3888.0,-7328.0,-3440.0
21891,"On your ear, you've got something.",25,4256.0,3632.0,7904.0
21892,It probably has the Dumper's name.,0,-3.453125,3.484375,0.03564453125
21893,It probably has the Dumper's name.,1,-5.59375,-21.0,-26.625
21894,It probably has the Dumper's name.,2,-1.1171875,-12.625,-13.75
21895,It probably has the Dumper's name.,3,26.0,19.75,45.75
21896,It probably has the Dumper's name.,4,-4.6875,-4.125,-9.0
21897,It probably has the Dumper's name.,5,78.5,111.5,190.0
21898,It probably has the Dumper's name.,6,-12.3125,-82.0,-94.5
21899,It probably has the Dumper's name.,7,30.25,-444.0,-412.0
21900,It probably has the Dumper's name.,8,7.3125,-608.0,-600.0
21901,It probably has the Dumper's name.,9,84.0,-296.0,-212.0
21902,It probably has the Dumper's name.,10,270.0,-908.0,-640.0
21903,It probably has the Dumper's name.,11,636.0,-1256.0,-620.0
21904,It probably has the Dumper's name.,12,410.0,-1128.0,-712.0
21905,It probably has the Dumper's name.,13,1012.0,-1800.0,-784.0
21906,It probably has the Dumper's name.,14,1280.0,-2064.0,-776.0
21907,It probably has the Dumper's name.,15,844.0,-3680.0,-2848.0
21908,It probably has the Dumper's name.,16,1232.0,-3616.0,-2384.0
21909,It probably has the Dumper's name.,17,486.0,-3536.0,-3056.0
21910,It probably has the Dumper's name.,18,956.0,-5248.0,-4288.0
21911,It probably has the Dumper's name.,19,600.0,-4672.0,-4080.0
21912,It probably has the Dumper's name.,20,1064.0,-4896.0,-3824.0
21913,It probably has the Dumper's name.,21,2480.0,-5472.0,-3008.0
21914,It probably has the Dumper's name.,22,2672.0,-7456.0,-4768.0
21915,It probably has the Dumper's name.,23,4016.0,-8384.0,-4352.0
21916,It probably has the Dumper's name.,24,3904.0,-9536.0,-5600.0
21917,It probably has the Dumper's name.,25,2752.0,-1376.0,1376.0
21918,There's always risk -- life's a risk.,0,-2.421875,5.1875,2.78125
21919,There's always risk -- life's a risk.,1,-2.875,-13.0,-15.9375
21920,There's always risk -- life's a risk.,2,1.984375,-0.18359375,1.8046875
21921,There's always risk -- life's a risk.,3,32.5,33.0,65.0
21922,There's always risk -- life's a risk.,4,-0.423828125,-1.296875,-1.875
21923,There's always risk -- life's a risk.,5,56.5,115.5,173.0
21924,There's always risk -- life's a risk.,6,-18.625,-61.0,-79.5
21925,There's always risk -- life's a risk.,7,9.0,-354.0,-344.0
21926,There's always risk -- life's a risk.,8,-3.890625,-364.0,-366.0
21927,There's always risk -- life's a risk.,9,55.5,-144.0,-89.5
21928,There's always risk -- life's a risk.,10,176.0,-620.0,-446.0
21929,There's always risk -- life's a risk.,11,414.0,-900.0,-484.0
21930,There's always risk -- life's a risk.,12,274.0,-928.0,-652.0
21931,There's always risk -- life's a risk.,13,688.0,-1344.0,-652.0
21932,There's always risk -- life's a risk.,14,1016.0,-1672.0,-648.0
21933,There's always risk -- life's a risk.,15,494.0,-2688.0,-2176.0
21934,There's always risk -- life's a risk.,16,1000.0,-2752.0,-1768.0
21935,There's always risk -- life's a risk.,17,452.0,-2880.0,-2448.0
21936,There's always risk -- life's a risk.,18,740.0,-4672.0,-3936.0
21937,There's always risk -- life's a risk.,19,272.0,-3792.0,-3520.0
21938,There's always risk -- life's a risk.,20,684.0,-3680.0,-2992.0
21939,There's always risk -- life's a risk.,21,1944.0,-3920.0,-1952.0
21940,There's always risk -- life's a risk.,22,1784.0,-5632.0,-3856.0
21941,There's always risk -- life's a risk.,23,2592.0,-5696.0,-3088.0
21942,There's always risk -- life's a risk.,24,2144.0,-5792.0,-3648.0
21943,There's always risk -- life's a risk.,25,194.0,2960.0,3152.0
21944,I'll see what you can do.,0,-3.296875,4.5,1.21875
21945,I'll see what you can do.,1,-5.5625,-16.5,-22.0
21946,I'll see what you can do.,2,-1.0078125,-3.78125,-4.78125
21947,I'll see what you can do.,3,21.125,33.0,54.0
21948,I'll see what you can do.,4,-17.75,-20.5,-38.5
21949,I'll see what you can do.,5,54.0,107.5,162.0
21950,I'll see what you can do.,6,-44.5,-107.0,-152.0
21951,I'll see what you can do.,7,-45.0,-396.0,-438.0
21952,I'll see what you can do.,8,-58.5,-516.0,-572.0
21953,I'll see what you can do.,9,34.25,-220.0,-186.0
21954,I'll see what you can do.,10,134.0,-876.0,-740.0
21955,I'll see what you can do.,11,181.0,-1000.0,-816.0
21956,I'll see what you can do.,12,28.5,-1104.0,-1080.0
21957,I'll see what you can do.,13,462.0,-1440.0,-980.0
21958,I'll see what you can do.,14,748.0,-1808.0,-1048.0
21959,I'll see what you can do.,15,316.0,-3168.0,-2848.0
21960,I'll see what you can do.,16,688.0,-3248.0,-2576.0
21961,I'll see what you can do.,17,324.0,-3552.0,-3248.0
21962,I'll see what you can do.,18,852.0,-5184.0,-4352.0
21963,I'll see what you can do.,19,396.0,-4672.0,-4256.0
21964,I'll see what you can do.,20,880.0,-4576.0,-3696.0
21965,I'll see what you can do.,21,2432.0,-4832.0,-2384.0
21966,I'll see what you can do.,22,2768.0,-6656.0,-3872.0
21967,I'll see what you can do.,23,4192.0,-7296.0,-3120.0
21968,I'll see what you can do.,24,4192.0,-7936.0,-3760.0
21969,I'll see what you can do.,25,4128.0,888.0,5024.0
21970,I told you what to do.,0,-2.921875,4.0,1.1015625
21971,I told you what to do.,1,-4.65625,-14.5,-19.25
21972,I told you what to do.,2,0.32421875,0.65234375,1.0234375
21973,I told you what to do.,3,22.25,30.875,53.0
21974,I told you what to do.,4,-9.6875,-1.7734375,-11.5625
21975,I told you what to do.,5,57.5,127.0,185.0
21976,I told you what to do.,6,-27.5,-66.0,-93.5
21977,I told you what to do.,7,-22.125,-330.0,-350.0
21978,I told you what to do.,8,-36.25,-348.0,-386.0
21979,I told you what to do.,9,26.75,-135.0,-108.0
21980,I told you what to do.,10,159.0,-620.0,-462.0
21981,I told you what to do.,11,354.0,-840.0,-480.0
21982,I told you what to do.,12,210.0,-728.0,-516.0
21983,I told you what to do.,13,488.0,-1160.0,-676.0
21984,I told you what to do.,14,776.0,-1488.0,-712.0
21985,I told you what to do.,15,484.0,-3040.0,-2544.0
21986,I told you what to do.,16,860.0,-3168.0,-2320.0
21987,I told you what to do.,17,390.0,-3408.0,-3008.0
21988,I told you what to do.,18,908.0,-5024.0,-4128.0
21989,I told you what to do.,19,528.0,-4512.0,-3984.0
21990,I told you what to do.,20,1168.0,-4320.0,-3168.0
21991,I told you what to do.,21,2512.0,-4608.0,-2096.0
21992,I told you what to do.,22,2832.0,-6336.0,-3472.0
21993,I told you what to do.,23,4224.0,-6560.0,-2368.0
21994,I told you what to do.,24,4160.0,-6688.0,-2512.0
21995,I told you what to do.,25,3456.0,3120.0,6560.0
21996,Can't go anywhere without an inhaler.,0,-3.109375,-4.5625,-7.6875
21997,Can't go anywhere without an inhaler.,1,-5.0625,-32.0,-37.25
21998,Can't go anywhere without an inhaler.,2,-1.15625,-21.375,-22.625
21999,Can't go anywhere without an inhaler.,3,5.59375,-49.5,-44.0
22000,Can't go anywhere without an inhaler.,4,-27.25,-101.5,-129.0
22001,Can't go anywhere without an inhaler.,5,39.25,-8.1875,31.625
22002,Can't go anywhere without an inhaler.,6,-60.75,-210.0,-270.0
22003,Can't go anywhere without an inhaler.,7,-64.0,-568.0,-628.0
22004,Can't go anywhere without an inhaler.,8,-101.0,-736.0,-832.0
22005,Can't go anywhere without an inhaler.,9,-38.5,-450.0,-490.0
22006,Can't go anywhere without an inhaler.,10,79.5,-980.0,-900.0
22007,Can't go anywhere without an inhaler.,11,177.0,-1432.0,-1248.0
22008,Can't go anywhere without an inhaler.,12,-9.875,-1280.0,-1288.0
22009,Can't go anywhere without an inhaler.,13,334.0,-2240.0,-1912.0
22010,Can't go anywhere without an inhaler.,14,664.0,-2496.0,-1824.0
22011,Can't go anywhere without an inhaler.,15,252.0,-4256.0,-3984.0
22012,Can't go anywhere without an inhaler.,16,592.0,-4016.0,-3424.0
22013,Can't go anywhere without an inhaler.,17,147.0,-4128.0,-3968.0
22014,Can't go anywhere without an inhaler.,18,536.0,-5920.0,-5376.0
22015,Can't go anywhere without an inhaler.,19,-181.0,-5408.0,-5600.0
22016,Can't go anywhere without an inhaler.,20,418.0,-5280.0,-4864.0
22017,Can't go anywhere without an inhaler.,21,1520.0,-5664.0,-4160.0
22018,Can't go anywhere without an inhaler.,22,1496.0,-7424.0,-5920.0
22019,Can't go anywhere without an inhaler.,23,2320.0,-8128.0,-5824.0
22020,Can't go anywhere without an inhaler.,24,1784.0,-9856.0,-8064.0
22021,Can't go anywhere without an inhaler.,25,-202.0,-4416.0,-4640.0
22022,I told you to stay hidden!,0,-2.828125,9.3125,6.5
22023,I told you to stay hidden!,1,-4.71875,-22.25,-27.0
22024,I told you to stay hidden!,2,1.21875,-5.6875,-4.46875
22025,I told you to stay hidden!,3,31.0,5.84375,37.0
22026,I told you to stay hidden!,4,-0.63671875,-23.625,-24.375
22027,I told you to stay hidden!,5,71.5,92.5,165.0
22028,I told you to stay hidden!,6,-8.25,-89.0,-97.5
22029,I told you to stay hidden!,7,4.28125,-412.0,-406.0
22030,I told you to stay hidden!,8,1.5234375,-444.0,-440.0
22031,I told you to stay hidden!,9,115.0,-304.0,-189.0
22032,I told you to stay hidden!,10,254.0,-904.0,-652.0
22033,I told you to stay hidden!,11,422.0,-1224.0,-796.0
22034,I told you to stay hidden!,12,245.0,-1128.0,-876.0
22035,I told you to stay hidden!,13,700.0,-1704.0,-1008.0
22036,I told you to stay hidden!,14,928.0,-1952.0,-1024.0
22037,I told you to stay hidden!,15,486.0,-3184.0,-2704.0
22038,I told you to stay hidden!,16,784.0,-3424.0,-2656.0
22039,I told you to stay hidden!,17,338.0,-3456.0,-3120.0
22040,I told you to stay hidden!,18,1000.0,-4992.0,-3984.0
22041,I told you to stay hidden!,19,688.0,-4960.0,-4256.0
22042,I told you to stay hidden!,20,1160.0,-4672.0,-3520.0
22043,I told you to stay hidden!,21,2656.0,-5696.0,-3040.0
22044,I told you to stay hidden!,22,2720.0,-7776.0,-5056.0
22045,I told you to stay hidden!,23,4160.0,-8128.0,-3984.0
22046,I told you to stay hidden!,24,4032.0,-8384.0,-4352.0
22047,I told you to stay hidden!,25,2688.0,-4320.0,-1664.0
22048,"Shwoof, that makes me feel better.",0,-3.15625,4.9375,1.78125
22049,"Shwoof, that makes me feel better.",1,-4.28125,-14.125,-18.375
22050,"Shwoof, that makes me feel better.",2,0.546875,-2.25,-1.6796875
22051,"Shwoof, that makes me feel better.",3,31.875,37.0,69.0
22052,"Shwoof, that makes me feel better.",4,0.162109375,7.6875,7.59375
22053,"Shwoof, that makes me feel better.",5,58.5,149.0,208.0
22054,"Shwoof, that makes me feel better.",6,-37.75,-59.25,-97.0
22055,"Shwoof, that makes me feel better.",7,-18.0,-348.0,-364.0
22056,"Shwoof, that makes me feel better.",8,-35.25,-476.0,-510.0
22057,"Shwoof, that makes me feel better.",9,65.0,-98.5,-34.0
22058,"Shwoof, that makes me feel better.",10,201.0,-716.0,-516.0
22059,"Shwoof, that makes me feel better.",11,408.0,-992.0,-580.0
22060,"Shwoof, that makes me feel better.",12,109.5,-988.0,-876.0
22061,"Shwoof, that makes me feel better.",13,386.0,-1384.0,-1000.0
22062,"Shwoof, that makes me feel better.",14,768.0,-1744.0,-968.0
22063,"Shwoof, that makes me feel better.",15,178.0,-2864.0,-2672.0
22064,"Shwoof, that makes me feel better.",16,556.0,-2880.0,-2336.0
22065,"Shwoof, that makes me feel better.",17,414.0,-3200.0,-2784.0
22066,"Shwoof, that makes me feel better.",18,860.0,-5056.0,-4192.0
22067,"Shwoof, that makes me feel better.",19,536.0,-4544.0,-4016.0
22068,"Shwoof, that makes me feel better.",20,972.0,-4544.0,-3568.0
22069,"Shwoof, that makes me feel better.",21,2512.0,-4736.0,-2240.0
22070,"Shwoof, that makes me feel better.",22,2752.0,-6240.0,-3488.0
22071,"Shwoof, that makes me feel better.",23,3808.0,-6784.0,-2976.0
22072,"Shwoof, that makes me feel better.",24,3344.0,-7104.0,-3792.0
22073,"Shwoof, that makes me feel better.",25,3200.0,896.0,4064.0
22074,Why's his britches round his knees?,0,-3.25,8.8125,5.53125
22075,Why's his britches round his knees?,1,-6.0,-15.75,-21.875
22076,Why's his britches round his knees?,2,-0.64453125,-7.3125,-7.96875
22077,Why's his britches round his knees?,3,12.5,-41.0,-28.875
22078,Why's his britches round his knees?,4,-18.625,-95.5,-114.0
22079,Why's his britches round his knees?,5,50.5,16.625,67.5
22080,Why's his britches round his knees?,6,-20.25,-155.0,-175.0
22081,Why's his britches round his knees?,7,-23.25,-656.0,-680.0
22082,Why's his britches round his knees?,8,-37.5,-768.0,-804.0
22083,Why's his britches round his knees?,9,43.0,-520.0,-476.0
22084,Why's his britches round his knees?,10,158.0,-1064.0,-904.0
22085,Why's his britches round his knees?,11,394.0,-1640.0,-1240.0
22086,Why's his britches round his knees?,12,253.0,-1480.0,-1224.0
22087,Why's his britches round his knees?,13,636.0,-2208.0,-1576.0
22088,Why's his britches round his knees?,14,896.0,-2304.0,-1400.0
22089,Why's his britches round his knees?,15,452.0,-3664.0,-3200.0
22090,Why's his britches round his knees?,16,800.0,-3808.0,-3008.0
22091,Why's his britches round his knees?,17,466.0,-3840.0,-3392.0
22092,Why's his britches round his knees?,18,900.0,-5440.0,-4544.0
22093,Why's his britches round his knees?,19,556.0,-5184.0,-4640.0
22094,Why's his britches round his knees?,20,1056.0,-5120.0,-4048.0
22095,Why's his britches round his knees?,21,2272.0,-6016.0,-3760.0
22096,Why's his britches round his knees?,22,2368.0,-8320.0,-5952.0
22097,Why's his britches round his knees?,23,3664.0,-8704.0,-5088.0
22098,Why's his britches round his knees?,24,3488.0,-9088.0,-5568.0
22099,Why's his britches round his knees?,25,2624.0,109.0,2704.0
22100,I didn't say you were scared.,0,-3.546875,8.875,5.375
22101,I didn't say you were scared.,1,-4.0625,-11.25,-15.3125
22102,I didn't say you were scared.,2,0.66015625,-1.8203125,-1.1484375
22103,I didn't say you were scared.,3,30.75,30.5,61.0
22104,I didn't say you were scared.,4,1.4140625,0.6171875,1.8984375
22105,I didn't say you were scared.,5,77.5,126.5,204.0
22106,I didn't say you were scared.,6,-21.25,-81.5,-103.0
22107,I didn't say you were scared.,7,-1.6640625,-302.0,-302.0
22108,I didn't say you were scared.,8,1.0234375,-348.0,-344.0
22109,I didn't say you were scared.,9,83.5,-113.5,-30.75
22110,I didn't say you were scared.,10,214.0,-688.0,-478.0
22111,I didn't say you were scared.,11,384.0,-920.0,-532.0
22112,I didn't say you were scared.,12,211.0,-944.0,-732.0
22113,I didn't say you were scared.,13,512.0,-1440.0,-932.0
22114,I didn't say you were scared.,14,736.0,-1768.0,-1024.0
22115,I didn't say you were scared.,15,159.0,-2896.0,-2736.0
22116,I didn't say you were scared.,16,322.0,-2816.0,-2496.0
22117,I didn't say you were scared.,17,91.5,-2976.0,-2896.0
22118,I didn't say you were scared.,18,466.0,-4512.0,-4048.0
22119,I didn't say you were scared.,19,216.0,-3760.0,-3536.0
22120,I didn't say you were scared.,20,824.0,-3648.0,-2832.0
22121,I didn't say you were scared.,21,2240.0,-3616.0,-1384.0
22122,I didn't say you were scared.,22,2512.0,-5472.0,-2960.0
22123,I didn't say you were scared.,23,3744.0,-5696.0,-1976.0
22124,I didn't say you were scared.,24,3424.0,-5600.0,-2176.0
22125,I didn't say you were scared.,25,2528.0,4736.0,7264.0
22126,You know what your problem is?,0,-4.5625,16.25,11.625
22127,You know what your problem is?,1,-5.65625,-12.125,-17.875
22128,You know what your problem is?,2,-0.5625,2.75,2.1875
22129,You know what your problem is?,3,19.625,20.125,39.5
22130,You know what your problem is?,4,-11.8125,1.3671875,-10.6875
22131,You know what your problem is?,5,42.25,113.0,155.0
22132,You know what your problem is?,6,-19.75,-45.0,-64.0
22133,You know what your problem is?,7,-23.125,-296.0,-318.0
22134,You know what your problem is?,8,-10.875,-342.0,-350.0
22135,You know what your problem is?,9,71.0,-110.0,-41.0
22136,You know what your problem is?,10,177.0,-632.0,-456.0
22137,You know what your problem is?,11,272.0,-684.0,-412.0
22138,You know what your problem is?,12,206.0,-628.0,-422.0
22139,You know what your problem is?,13,456.0,-936.0,-486.0
22140,You know what your problem is?,14,684.0,-1080.0,-390.0
22141,You know what your problem is?,15,366.0,-2512.0,-2144.0
22142,You know what your problem is?,16,700.0,-2704.0,-2008.0
22143,You know what your problem is?,17,229.0,-2624.0,-2400.0
22144,You know what your problem is?,18,568.0,-4000.0,-3440.0
22145,You know what your problem is?,19,-91.5,-3440.0,-3536.0
22146,You know what your problem is?,20,398.0,-3312.0,-2912.0
22147,You know what your problem is?,21,1400.0,-3472.0,-2080.0
22148,You know what your problem is?,22,1360.0,-4704.0,-3328.0
22149,You know what your problem is?,23,2496.0,-4416.0,-1920.0
22150,You know what your problem is?,24,2464.0,-4768.0,-2288.0
22151,You know what your problem is?,25,1208.0,4016.0,5184.0
22152,"I'm a hemotologist, not a detective.",0,-3.625,1.578125,-2.046875
22153,"I'm a hemotologist, not a detective.",1,-4.46875,-22.5,-27.0
22154,"I'm a hemotologist, not a detective.",2,0.4296875,-11.25,-10.8125
22155,"I'm a hemotologist, not a detective.",3,26.75,9.8125,36.25
22156,"I'm a hemotologist, not a detective.",4,-2.6875,-11.375,-14.125
22157,"I'm a hemotologist, not a detective.",5,71.5,118.5,190.0
22158,"I'm a hemotologist, not a detective.",6,-25.375,-78.5,-103.5
22159,"I'm a hemotologist, not a detective.",7,-14.4375,-500.0,-512.0
22160,"I'm a hemotologist, not a detective.",8,-42.0,-636.0,-676.0
22161,"I'm a hemotologist, not a detective.",9,24.5,-286.0,-262.0
22162,"I'm a hemotologist, not a detective.",10,174.0,-832.0,-660.0
22163,"I'm a hemotologist, not a detective.",11,342.0,-1040.0,-696.0
22164,"I'm a hemotologist, not a detective.",12,184.0,-904.0,-716.0
22165,"I'm a hemotologist, not a detective.",13,540.0,-1536.0,-1004.0
22166,"I'm a hemotologist, not a detective.",14,740.0,-1744.0,-1008.0
22167,"I'm a hemotologist, not a detective.",15,272.0,-2992.0,-2736.0
22168,"I'm a hemotologist, not a detective.",16,644.0,-3152.0,-2512.0
22169,"I'm a hemotologist, not a detective.",17,276.0,-3568.0,-3312.0
22170,"I'm a hemotologist, not a detective.",18,692.0,-5504.0,-4800.0
22171,"I'm a hemotologist, not a detective.",19,217.0,-4480.0,-4256.0
22172,"I'm a hemotologist, not a detective.",20,724.0,-4480.0,-3744.0
22173,"I'm a hemotologist, not a detective.",21,2096.0,-4928.0,-2832.0
22174,"I'm a hemotologist, not a detective.",22,2352.0,-6816.0,-4448.0
